---SFT---,
MeasureDate:,20250722_163039,
CWFi:,5,
CCWFi:,5,
CWfii:,5,
CCWfii:,4,
CWfl:,6,
CCWfl:,5,
CWfk:,1,
CCWfk:,1,
CWFiValue:,24.1,
CCWFiValue:,18.2,
CWfiiValue:,11.17,
CCWfiiValue:,7.68,
CWflValue:,23.12,
CCWflValue:,18.13,
CWfkValue:,2.83,
CCWfkValue:,2.54,
BacklashMeanValue:,96.52,
BacklashDiffValue:,16.06,
BacklashMaxValue:,102.97,
BacklashMinValue:,86.92,
CWTotalTime:,21.1226349,
CCWTotalTime:,21.1253035,
XAxisLocation:,28.256,
YAxisLocation:,35.258,
ZAxisLocation:,0,
XAxisRelLocation:,23.958,
YAxisRelLocation:,30.96,
ZAxisRelLocation:,0,
JudgeResult:,6,
,CWResultXArray,CWResultYArray,CCWResultXArray,CCWResultYArray,BacklashXArray,BacklashYArray,
SFT:,0.184,0.34906585039886595,0.397,-99.83283321407565,0.184,100.18189906447452,
SFT:,0.737,0.34906585039886595,0.954,-99.13470151327792,0.737,99.48376736367679,
SFT:,1.299,-0.3490658503988275,1.144,-99.13470151327792,1.299,98.78563566287909,
SFT:,1.856,-0.6981317007977319,1.703,-99.13470151327792,1.856,98.43656981248019,
SFT:,2.414,-1.3962634015954638,2.258,-99.13470151327792,2.414,97.73843811168246,
SFT:,2.973,-1.3962634015954638,2.819,-99.13470151327792,2.973,97.73843811168246,
SFT:,3.349,-1.7453292519944483,3.371,-99.13470151327792,3.349,97.38937226128347,
SFT:,3.918,-1.7453292519944483,3.925,-98.78563566287905,3.918,97.0403064108846,
SFT:,4.479,-2.0943951023932756,4.486,-98.43656981248019,4.479,96.34217471008691,
SFT:,4.652,-2.0943951023932756,4.86,-98.43656981248019,4.652,96.34217471008691,
SFT:,5.214,-2.443460952792257,5.407,-98.08750396208133,5.214,95.64404300928908,
SFT:,5.773,-2.094395102392965,5.96,-97.73843811168247,5.773,95.6440430092895,
SFT:,6.335,-2.4434609527919458,6.336,-97.73843811168247,6.335,95.29497715889052,
SFT:,6.894,-2.443460952792257,6.897,-97.04030641088474,6.894,94.59684545809249,
SFT:,7.453,-2.443460952792257,7.456,-97.04030641088474,7.453,94.59684545809249,
SFT:,7.838,-2.0943951023932756,7.637,-96.69124056048553,7.838,94.59684545809225,
SFT:,8.395,-2.4434609527919458,8.195,-96.69124056048585,8.395,94.2477796076939,
SFT:,8.944,-2.0943951023932756,8.742,-96.6912405604862,8.944,94.59684545809291,
SFT:,9.317,-2.0943951023932756,9.289,-96.342174710087,9.317,94.24777960769372,
SFT:,9.881,-2.4434609527919458,9.854,-95.99310885968778,9.881,93.54964790689583,
SFT:,10.439,-2.4434609527919458,10.402,-96.69124056048553,10.439,94.24777960769357,
SFT:,10.997,-2.4434609527919458,10.963,-97.04030641088437,10.997,94.59684545809242,
SFT:,11.172,-2.7925268031912416,11.35,-97.38937226128361,11.172,94.59684545809237,
SFT:,11.739,-2.7925268031912416,11.894,-98.43656981248019,11.739,95.64404300928895,
SFT:,12.294,-3.1415926535899112,12.459,-98.43656981248019,12.294,95.29497715889028,
SFT:,12.855,-2.7925268031912416,12.627,-98.43656981248019,12.855,95.64404300928895,
SFT:,13.408,-2.79252680319062,13.198,-98.43656981248019,13.408,95.64404300928956,
SFT:,13.969,-2.79252680319062,13.76,-99.13470151327756,13.969,96.34217471008694,
SFT:,14.344,-2.79252680319062,14.127,-99.48376736367678,14.344,96.69124056048615,
SFT:,14.893,-2.4434609527925675,14.672,-100.18189906447485,14.893,97.73843811168229,
SFT:,15.435,-2.0943951023932756,15.241,-100.53096491487335,15.435,98.43656981248007,
SFT:,15.992,-2.0943951023932756,15.795,-100.53096491487335,15.992,98.43656981248007,
SFT:,16.172,-2.0943951023932756,16.352,-100.53096491487335,16.172,98.43656981248007,
SFT:,16.924,-2.443460952791328,16.914,-101.22909661567216,16.924,98.78563566288084,
SFT:,17.487,-2.0943951023920366,17.469,-101.22909661567216,17.487,99.13470151328012,
SFT:,17.649,-1.7453292519952228,17.831,-100.88003076527156,17.649,99.13470151327633,
SFT:,18.201,-3.1415926535899112,18.397,-101.22909661567077,18.201,98.08750396208086,
SFT:,18.766,-3.8397243543872452,18.966,-101.22909661567216,18.766,97.38937226128492,
SFT:,19.323,-4.53785605518585,19.151,-101.57816246606997,19.323,97.04030641088411,
SFT:,19.875,-4.188790204786565,19.698,-101.57816246606997,19.875,97.3893722612834,
SFT:,20.428,-4.53785605518585,20.266,-101.57816246606893,20.428,97.04030641088308,
SFT:,20.989,-4.53785605518585,20.82,-101.57816246606997,20.989,97.04030641088411,
SFT:,21.363,-4.5378560551845935,21.377,-101.22909661567077,21.363,96.69124056048618,
SFT:,21.913,-4.188790204786565,21.931,-101.22909661567216,21.913,97.04030641088559,
SFT:,22.465,-4.886921905583878,22.482,-100.53096491487335,22.465,95.64404300928948,
SFT:,22.646,-4.886921905583878,22.856,-100.53096491487335,22.646,95.64404300928948,
SFT:,23.4,-4.5378560551845935,23.399,-100.18189906447554,23.4,95.64404300929095,
SFT:,23.962,-4.886921905583878,23.968,-100.18189906447415,23.962,95.29497715889028,
SFT:,24.148,-4.886921905583878,24.349,-100.18189906447415,24.148,95.29497715889028,
SFT:,24.697,-4.5378560551845935,24.907,-99.83283321407599,24.697,95.2949771588914,
SFT:,25.262,-4.886921905583878,25.455,-99.48376736367572,25.262,94.59684545809185,
SFT:,25.806,-4.188790204786565,25.639,-99.48376736367678,25.806,95.2949771588902,
SFT:,26.366,-4.5378560551845935,26.2,-99.83283321407494,26.366,95.29497715889035,
SFT:,26.928,-4.53785605518585,26.755,-99.83283321407494,26.928,95.29497715888908,
SFT:,27.484,-4.188790204786565,27.313,-98.78563566287835,27.484,94.59684545809178,
SFT:,27.868,-4.5378560551845935,27.87,-99.48376736367678,27.868,94.94591130849219,
SFT:,28.43,-5.235987755983199,28.4,-99.83283321407494,28.43,94.59684545809174,
SFT:,28.97,-4.886921905583878,28.97,-100.53096491487335,28.97,95.64404300928948,
SFT:,29.154,-5.235987755983199,29.354,-100.18189906447415,29.154,94.94591130849095,
SFT:,29.72,-5.235987755983199,29.804,-100.53096491487335,29.72,95.29497715889015,
SFT:,30.268,-5.235987755983199,30.364,-101.57816246606997,30.268,96.34217471008677,
SFT:,30.824,-5.235987755983199,30.911,-101.57816246606997,30.824,96.34217471008677,
SFT:,31.37,-4.886921905583878,31.477,-101.92722831646954,31.37,97.04030641088566,
SFT:,31.747,-4.5378560551845935,31.853,-102.27629416686875,31.747,97.73843811168416,
SFT:,32.293,-4.886921905582656,32.404,-102.62536001726797,32.293,97.73843811168531,
SFT:,32.846,-4.188790204784087,32.954,-103.32349171806395,32.846,99.13470151327986,
SFT:,33.426,-3.8397243543885016,33.339,-103.67255756846214,33.426,99.83283321407363,
SFT:,33.964,-4.188790204786565,33.902,-104.02162341886275,33.964,99.83283321407617,
SFT:,34.349,-4.188790204784087,34.456,-104.02162341886275,34.349,99.83283321407866,
SFT:,34.903,-3.839724354386024,34.642,-103.67255756846455,34.903,99.83283321407853,
SFT:,35.455,-3.490658503987965,35.187,-104.02162341886029,35.455,100.53096491487233,
SFT:,35.636,-3.4906585039904394,35.751,-103.32349171806395,35.636,99.8328332140735,
SFT:,36.175,-3.490658503987965,36.315,-102.97442586766368,36.175,99.48376736367572,
SFT:,36.732,-3.1415926535899112,36.885,-102.62536001726552,36.732,99.48376736367561,
SFT:,37.289,-4.188790204786565,37.428,-102.62536001726552,37.289,98.43656981247895,
SFT:,37.844,-4.5378560551845935,37.995,-102.27629416686736,37.844,97.73843811168277,
SFT:,38.42,-4.886921905585135,38.374,-101.92722831646954,38.42,97.0403064108844,
SFT:,38.976,-5.585053606381226,38.92,-101.57816246607138,38.976,95.99310885969015,
SFT:,39.354,-5.585053606381226,39.471,-101.57816246606893,39.354,95.99310885968771,
SFT:,39.914,-5.585053606381226,39.643,-101.57816246607138,39.914,95.99310885969015,
SFT:,40.471,-5.585053606381226,40.202,-100.88003076527295,40.471,95.29497715889173,
SFT:,40.651,-5.934119456781767,40.77,-100.88003076527295,40.651,94.94591130849118,
SFT:,41.398,-5.934119456781767,41.334,-100.53096491487476,41.398,94.59684545809299,
SFT:,41.951,-5.585053606381226,41.872,-100.53096491487231,41.951,94.94591130849109,
SFT:,42.128,-5.934119456781767,42.438,-99.83283321407599,42.128,93.89871375729422,
SFT:,42.69,-5.585053606381226,42.989,-99.48376736367572,42.69,93.8987137572945,
SFT:,43.255,-5.934119456781767,43.377,-99.48376736367817,43.255,93.5496479068964,
SFT:,43.811,-5.934119456781767,43.931,-100.18189906447415,43.811,94.24777960769238,
SFT:,44.373,-5.585053606381226,44.494,-99.83283321407599,44.373,94.24777960769477,
SFT:,44.926,-5.934119456781767,44.872,-99.83283321407599,44.926,93.89871375729422,
SFT:,45.484,-5.934119456781767,45.415,-99.13470151327756,45.484,93.20058205649579,
SFT:,45.863,-5.934119456781767,45.962,-99.48376736367817,45.863,93.5496479068964,
SFT:,46.411,-5.934119456781767,46.15,-99.48376736367572,46.411,93.54964790689395,
SFT:,46.978,-5.934119456781767,46.708,-99.83283321407599,46.978,93.89871375729422,
SFT:,47.159,-6.283185307179831,47.258,-100.18189906447661,47.159,93.89871375729678,
SFT:,47.724,-6.283185307177353,47.84,-100.88003076527295,47.724,94.5968454580956,
SFT:,48.281,-5.93411945677929,48.398,-102.2762941668698,48.281,96.34217471009052,
SFT:,48.848,-6.283185307179831,48.954,-102.27629416686736,48.848,95.99310885968752,
SFT:,49.406,-5.93411945677929,49.328,-102.62536001726797,49.406,96.69124056048868,
SFT:,49.958,-5.93411945677929,49.885,-102.97442586766368,49.958,97.0403064108844,
SFT:,50.334,-5.585053606383706,50.453,-103.3234917180664,50.334,97.7384381116827,
SFT:,50.894,-5.585053606381226,50.635,-103.32349171806395,50.894,97.73843811168273,
SFT:,51.45,-5.235987755983199,51.201,-104.02162341886275,51.45,98.78563566287954,
